Final Class rank,Reading Quiz Average,Number of classes attended,HW1 Percent,HW2 Percent,HW 3 Percent,HW4 Percent,HW5 Percent,HW6 Percent,HW7 Percent,HW Average,Midterm Percentage,Final Exam Percentage
143,0.8679245283,13,0.9,1,0.803030303,0.8493548387,1,0,0.8846153846,0.9070957964,0.6413043478,0.5727272727
144,0.9433962264,0,0.8583333333,0,0,0,0,0.3787878788,0.8076923077,0.3473289637,0.652173913,0.7954545455
145,0.6339622642,0,0.8,1,0.9090909091,0,1,0.9090909091,0.7884615385,0.9020863625,0.6086956522,0.6272727273
146,0.5283018868,0,0.7333333333,0.8043478261,0,0.5483870968,0.88,0.8181818182,0.9230769231,0.7866876233,0.652173913,0.6590909091
147,0.9905660377,13,0.8333333333,0.8913043478,0.7272727273,0.9570967742,1,0.6742424242,0.7115384615,0.8548755188,0.5217391304,0.6136363636
148,0.8301886792,8,0.9583333333,0.9347826087,0.9393939394,0.9138709677,0.92,0.5757575758,0,0.8749403341,0.5652173913,0.6545454545
149,1,10,0.7333333333,1,0.9318181818,0.5806451613,1,0.8333333333,1,0.9172417242,0.3260869565,0.6590909091
150,1,1,0.7333333333,0.7391304348,0.9545454545,0.9138709677,1,0.7575757576,1,0.8952347549,0.5217391304,0.6181818182
151,0.8132075472,2,0.7333333333,0.8695652174,0.8787878788,0.57,0.68,0.8106060606,0.8461538462,0.7951231578,0.6195652174,0.6409090909
152,1,2,0.7,0.9130434783,0.5151515152,0.505483871,0.84,0.7348484848,0.9230769231,0.7633862048,0.5543478261,0.6545454545
153,0.641509434,13,0.8666666667,0.8913043478,0,0.9032258065,1,0.7575757576,0.8269230769,0.8755273359,0.1086956522,0.7272727273
154,0.9056603774,7,0.9,1,0.9696969697,0.9783870968,1,0.9848484848,0,0.962530124,0.5706521739,0.5590909091
155,0.3396226415,0,0.9333333333,0.8695652174,0,0,0.94,0.803030303,0.9615384615,0.7537074778,0.5543478261,0.6318181818
156,0.9433962264,7,0.7666666667,0.7065217391,0.7727272727,0.5483870968,0.76,0.5681818182,0.8653846154,0.7424887974,0.5760869565,0.6227272727
157,0.9509433962,0,0.8916666667,0.8369565217,0.8636363636,0.9677419355,1,0.5909090909,0,0.8598862341,0.3913043478,0.5954545455
158,0.8113207547,1,0.7,0.8695652174,0.8484848485,0,0,0,0.4807692308,0.4882540093,0.7282608696,0.5954545455
159,1,13,0.8,0.8913043478,0.9090909091,0.6667741935,0.82,0.8636363636,0.9038461538,0.8610359364,0.4347826087,0.5
160,1,3,0.9666666667,0.9565217391,0,0.9570967742,1,0.9848484848,1,0.9777448292,0.3804347826,0.5181818182
161,1,0,0.8666666667,1,0.8712121212,0,1,1,1,0.9567456746,0,0.6136363636
162,0.7886792453,10,0.9333333333,1,0.9090909091,0.8603225806,0.92,0.9015151515,0,0.9214953753,0.5869565217,0.45
163,0.2830188679,3,0.8,0.902173913,0.8939393939,0.9138709677,0.92,0,0.8076923077,0.8742040565,0.5543478261,0.5454545455
164,0.9056603774,2,0.8,0.847826087,0.8484848485,0,0.88,0.5681818182,0.9615384615,0.8194770982,0.5217391304,0.5090909091
165,0.9245283019,0,0.7333333333,0.8695652174,0.803030303,0.6451612903,0,0.303030303,0.8653846154,0.6962879641,0.4891304348,0.5227272727
166,0.6603773585,0,0.5666666667,0.6086956522,0,0.7312903226,0.84,0.3560606061,0.9230769231,0.6742228004,0.3913043478,0.5818181818
167,0.8679245283,8,0.5333333333,0.9891304348,0.8560606061,0.5377419355,0.88,0.6287878788,0.9230769231,0.8044220756,0.472826087,0.4863636364
168,0.1735849057,2,0.5666666667,0,0.8106060606,0.6990322581,0.76,0,0.9230769231,0.630261041,0.4891304348,0.3545454545
169,0.4056603774,3,0.4,0,0.8181818182,0.634516129,0.96,0.446969697,0.6923076923,0.6620421347,0.402173913,0.3909090909
170,0.2924528302,0,0.4,0,0.8333333333,0.9032258065,1,0.9848484848,0,0.6900012582,0.25,0.3818181818
171,0.8679245283,1,0.9666666667,0.9782608696,0,0,0,0,0,0.3308461281,0.4836956522,0.4227272727
172,0.3962264151,0,0,1,0.8787878788,0,0.64,0,0,0.4255425543,0.7608695652,0
173,0.7358490566,1,0.8,0.6739130435,0,0,0,0,0,0.2531209643,0.402173913,0
174,0.1886792453,0,0,0,0,0,0,0,0,0.009900990099,0.4130434783,0
175,0.7358490566,0,0.8333333333,0.8152173913,0,0,0,0,0,0.2819390635,0,0
176,0.4528301887,0,0.8333333333,0,0,0,0,0,0,0.1474147415,0,0
177,0.5283018868,0,0.5,0,0,0,0,0,0,0.09240924092,0,0
178,0.2698113208,2,0.06666666667,0.5434782609,0,0,0,0,0,0.1105849715,0,0
179,0.3962264151,0,0,0,0,0,0,0,0,0.009900990099,0,0
180,0.2169811321,0,0,0,0,0,0,0,0,0.009900990099,0,0
181,0.1132075472,0,0,0,0,0,0,0,0,0.009900990099,0,0
182,0.1132075472,0,0,0,0,0,0,0,0,0.009900990099,0,0
183,0.1132075472,0,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0,0,0
